trace,kind,bin_low,bin_high,count
conv_2023,input,0,1,0
conv_2023,input,1,2,0
conv_2023,input,2,4,6
conv_2023,input,4,8,11
conv_2023,input,8,16,72
conv_2023,input,16,32,120
conv_2023,input,32,64,93
conv_2023,input,64,128,227
conv_2023,input,128,256,2072
conv_2023,input,256,512,5041
conv_2023,input,512,1024,2153
conv_2023,input,1024,2048,6868
conv_2023,input,2048,4096,2287
conv_2023,input,4096,8192,415
conv_2023,input,8192,16384,1
conv_2023,input,16384,32768,0
conv_2023,input,32768,65536,0
conv_2023,input,65536,131072,0
conv_2023,input,131072,262144,0
conv_2023,input,262144,524288,0
conv_2023,input,524288,1048576,0
conv_2023,output,0,1,0
conv_2023,output,1,2,0
conv_2023,output,2,4,0
conv_2023,output,4,8,1
conv_2023,output,8,16,180
conv_2023,output,16,32,382
conv_2023,output,32,64,2082
conv_2023,output,64,128,6950
conv_2023,output,128,256,3239
conv_2023,output,256,512,5969
conv_2023,output,512,1024,563
conv_2023,output,1024,2048,0
conv_2023,output,2048,4096,0
conv_2023,output,4096,8192,0
conv_2023,output,8192,16384,0
conv_2023,output,16384,32768,0
conv_2023,output,32768,65536,0
conv_2023,output,65536,131072,0
conv_2023,output,131072,262144,0
conv_2023,output,262144,524288,0
conv_2023,output,524288,1048576,0
code_2023,input,0,1,0
code_2023,input,1,2,0
code_2023,input,2,4,2
code_2023,input,4,8,12
code_2023,input,8,16,58
code_2023,input,16,32,85
code_2023,input,32,64,212
code_2023,input,64,128,408
code_2023,input,128,256,639
code_2023,input,256,512,636
code_2023,input,512,1024,1287
code_2023,input,1024,2048,2171
code_2023,input,2048,4096,2068
code_2023,input,4096,8192,1241
code_2023,input,8192,16384,0
code_2023,input,16384,32768,0
code_2023,input,32768,65536,0
code_2023,input,65536,131072,0
code_2023,input,131072,262144,0
code_2023,input,262144,524288,0
code_2023,input,524288,1048576,0
code_2023,output,0,1,0
code_2023,output,1,2,0
code_2023,output,2,4,0
code_2023,output,4,8,1355
code_2023,output,8,16,3896
code_2023,output,16,32,1956
code_2023,output,32,64,881
code_2023,output,64,128,465
code_2023,output,128,256,182
code_2023,output,256,512,57
code_2023,output,512,1024,25
code_2023,output,1024,2048,2
code_2023,output,2048,4096,0
code_2023,output,4096,8192,0
code_2023,output,8192,16384,0
code_2023,output,16384,32768,0
code_2023,output,32768,65536,0
code_2023,output,65536,131072,0
code_2023,output,131072,262144,0
code_2023,output,262144,524288,0
code_2023,output,524288,1048576,0
conv_2024,input,0,1,0
conv_2024,input,1,2,2
conv_2024,input,2,4,8
conv_2024,input,4,8,7042
conv_2024,input,8,16,16
conv_2024,input,16,32,6455
conv_2024,input,32,64,127620
conv_2024,input,64,128,328794
conv_2024,input,128,256,1532035
conv_2024,input,256,512,4293778
conv_2024,input,512,1024,7686424
conv_2024,input,1024,2048,4619889
conv_2024,input,2048,4096,6307399
conv_2024,input,4096,8192,2394537
conv_2024,input,8192,16384,0
conv_2024,input,16384,32768,0
conv_2024,input,32768,65536,0
conv_2024,input,65536,131072,0
conv_2024,input,131072,262144,0
conv_2024,input,262144,524288,0
conv_2024,input,524288,1048576,0
conv_2024,output,0,1,0
conv_2024,output,1,2,1691
conv_2024,output,2,4,2922853
conv_2024,output,4,8,775603
conv_2024,output,8,16,3527470
conv_2024,output,16,32,4849839
conv_2024,output,32,64,6263158
conv_2024,output,64,128,2627419
conv_2024,output,128,256,2192501
conv_2024,output,256,512,3218446
conv_2024,output,512,1024,880931
conv_2024,output,1024,2048,44088
conv_2024,output,2048,4096,0
conv_2024,output,4096,8192,0
conv_2024,output,8192,16384,0
conv_2024,output,16384,32768,0
conv_2024,output,32768,65536,0
conv_2024,output,65536,131072,0
conv_2024,output,131072,262144,0
conv_2024,output,262144,524288,0
conv_2024,output,524288,1048576,0
code_2024,input,0,1,0
code_2024,input,1,2,720
code_2024,input,2,4,4783
code_2024,input,4,8,20760
code_2024,input,8,16,68411
code_2024,input,16,32,132097
code_2024,input,32,64,205890
code_2024,input,64,128,361889
code_2024,input,128,256,607145
code_2024,input,256,512,1049008
code_2024,input,512,1024,2108796
code_2024,input,1024,2048,4293049
code_2024,input,2048,4096,4844554
code_2024,input,4096,8192,3106593
code_2024,input,8192,16384,0
code_2024,input,16384,32768,0
code_2024,input,32768,65536,0
code_2024,input,65536,131072,0
code_2024,input,131072,262144,0
code_2024,input,262144,524288,0
code_2024,input,524288,1048576,0
code_2024,output,0,1,0
code_2024,output,1,2,2688232
code_2024,output,2,4,2614947
code_2024,output,4,8,2728580
code_2024,output,8,16,3829228
code_2024,output,16,32,2638738
code_2024,output,32,64,1196700
code_2024,output,64,128,627320
